0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,94,2338,328,0,2378,8658,25,0,0,8744,1093,0,0,33,1,0,2636,309,0,94,219
0,0,0,132,2.3618e+05,3597,0,6126,24889,7,0,0,76298,17131,0,0,429,414,3,16668,5028,0,6245,127
0,0,0,1103,3073,28487,0,40583,77933,132,0,0,1460,718,0,0,143,326,46,27400,382,0,1161,61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,92,1940,28564,0,48832,81289,55,0,0,2932,97,0,0,446,248,179,10672,113,0,1214,337
0,0,0,14,2448,3650,0,11482,2.6069e+05,87,0,0,589,1,0,0,0,52,2,27366,63,0,198,0
0,0,0,159,173,2183,0,1570,8913,3280,0,0,2521,3,0,0,0,127,29,14364,452,0,1115,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1271,51076,1708,0,16319,5309,471,0,0,1.3409e+05,1480,0,0,48,283,2,3085,234,0,1142,696
0,0,0,13,17252,461,0,1552,937,99,0,0,23316,17059,0,0,9385,757,0,1220,12547,0,1912,12703
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,4248,1352,0,1094,2597,23,0,0,6568,970,0,0,6204,560,35,970,1319,0,16386,7599
0,0,0,6,944,1264,0,6337,3779,22,0,0,2049,187,0,0,521,1301,13,14930,769,0,1904,3569
0,0,0,1,37,2796,0,5509,6826,6,0,0,72,0,0,0,95,285,4721,5374,22,0,4546,0
0,0,0,2395,13864,73323,0,65533,1.5441e+05,5585,0,0,6329,83,0,0,139,41937,455,1.7078e+05,10668,0,3917,1198
0,0,0,35,6726,651,0,1050,1917,601,0,0,5225,570,0,0,653,172,0,21915,27785,0,7884,1031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,95,41236,3096,0,6008,17092,83,0,0,42616,8385,0,0,5187,1613,110,11264,7967,0,42439,10534
0,0,0,224,432,188,0,758,36,150,0,0,11534,1347,0,0,1924,348,1,2286,2990,0,955,47872
