Experiment,Duration
01_results_pretests/RandomForest_100/PCA_5,01:01:38
01_results_pretests/RandomForest_2/MulticlassLda,00:05:39
01_results_pretests/RandomForest_20,00:17:43
01_results_pretests/RandomForest_3/MulticlassLda/20170201_1912,00:16:44
01_results_pretests/RotationForest_23/MulticlassLda,00:15:45
01_results_pretests/RotationForest_52,00:22:09
01_results_pretests/SVM_linear_onevsone/MulticlassLda,15:01:11
01_results_pretests/SVM_linear_onevsone/SELD_1_20,01:04:32
ConvNet_e200/MulticlassLda_14/20170301_0012,08:14:20
ConvNet_e200/MulticlassLda_5/20170226_1343,05:30:48
ConvNet_e200/PCA_14/20170228_0005,09:12:32
ConvNet_e200/SELD_20_14/20170228_0927,10:12:53
ConvNet_e500/MulticlassLda_14/20170302_0037,26:21:20
LibSVM_linear_onevsone/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170217_1247,00:55:47
RandomForest_100/Indices/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170218_1621,00:56:01
RandomForest_100/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170217_1502,01:08:23
RandomForest_100/MulticlassLda_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1427,00:50:50
RandomForest_100/PCA_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170218_1738,01:05:25
RandomForest_100/PCA_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1524,00:54:54
RandomForest_100/SELD_20_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1212,01:06:00
RandomForest_100/SELD_20_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1322,01:00:11
RandomForest_100__regularizedOutput_r15/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170226_1924,08:49:52
RandomForest_100__regularizedOutput_r5/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170226_1818,00:51:14
RandomForest_20/20170219_2216,24:24:00
RandomForest_20/Indices/20170220_2327,12:31:54
RandomForest_20/Indices/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170217_1614,00:15:37
RandomForest_20/MulticlassLda_14/20170218_1913,02:53:39
RandomForest_20/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170217_1012,00:18:32
RandomForest_20/MulticlassLda_5/20170217_1239,04:35:54
RandomForest_20/MulticlassLda_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1636,00:13:31
RandomForest_20/PCA_14/20170218_2220,02:33:51
RandomForest_20/PCA_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1127,00:17:08
RandomForest_20/PCA_5/20170218_0336,07:02:35
RandomForest_20/PCA_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1620,00:14:35
RandomForest_20/SELD_20_14/20170216_1316,00:28:19
RandomForest_20/SELD_20_14/20170228_2306,00:33:46
RandomForest_20/SELD_20_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1152,00:17:40
RandomForest_20/SELD_20_5/20170216_1134,00:31:23
RandomForest_20/SELD_20_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170219_1650,00:15:30
RandomForest_20/SELD_40_14/20170216_1245,00:29:25
RandomForest_20/SELD_40_5/20170216_1059,00:31:06
RandomForest_20/SELD_60_14/20170216_1207,00:37:12
RandomForest_20/SELD_60_5/20170216_1027,00:31:26
RandomForest_20__propagatedLabels_r15/MulticlassLda_14/20170303_0212,05:31:21
RandomForest_20__propagatedLabels_r15/MulticlassLda_5/20170223_0109,30:35:10
RandomForest_20__propagatedLabels_r5/MulticlassLda_14/20170302_1026,12:33:43
RandomForest_20__propagatedLabels_r5/MulticlassLda_14/20170302_2231,00:29:07
RandomForest_20__propagatedLabels_r5/MulticlassLda_5/20170219_1407,05:16:28
RandomForest_20__regularizedOutput_r15/MulticlassLda_14/20170224_2150,07:22:34
RandomForest_20__regularizedOutput_r15/MulticlassLda_5/20170302_0032,03:01:18
RandomForest_20__regularizedOutput_r5/MulticlassLda_14/20170224_1752,01:14:02
RandomForest_20__regularizedOutput_r5/MulticlassLda_5/20170221_2348,02:40:56
RotationForest_20_2/20170302_0134,16:37:32
RotationForest_20_2/MulticlassLda_14/20170228_2117,02:53:39
RotationForest_20_2/PCA_5/20170301_1027,01:15:50
RotationForest_20_2/SELD_20_14/20170301_0818,01:33:08
RotationForest_20_3/MulticlassLda_14/20170302_0016,01:17:30
RotationForest_20_4/MulticlassLda_14/20170301_2247,01:23:30
RotationForest_20_7/MulticlassLda_14/20170301_1732,01:31:22
SVMliblinear/Indices/20170224_1335,00:02:26
SVMliblinear/MulticlassLda_14/20170224_0739,01:56:23
SVMliblinear/MulticlassLda_5/20170223_2239,01:32:11
SVMliblinear/PCA_5/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170227_2127,03:24:03
SVMliblinear__propagatedLabels_r5/MulticlassLda_14/20170227_0943,17:53:03
SVMlin_onevsall/Indices/20170224_1628,00:36:59
SVMlin_onevsall/MulticlassLda_14/20170224_2010,00:52:38
SVMlin_onevsall/PCA_5/20170226_1409,00:18:51
SVMlin_onevsone/MulticlassLda_14/20170226_1439,00:51:27
SVMlin_onevsone/MulticlassLda_14/SpatialFeatureExtractor_5_Max_Mean_Min_Var/20170228_2119,16:21:44
SVMlin_onevsone/PCA_5/20170226_1545,00:21:20
SVMlin_onevsone/SELD_20_5/20170307_1309,00:10:42
